extra points, extra points attemped, field goals, field goals attemped, longest field goal, name
3,3,3,3,48,J Palardy
3,3,5,5,36,S Whyte
4,4,1,2,44,S Waters
1,1,0,0,0,S Watt
4,4,2,3,40,L Congi
5,5,2,2,39,R Paredes
2,3,1,1,40,H ONeill
0,0,3,4,40,G Shaw
5,5,1,1,24,C Milo
1,1,1,2,0,S Whyte
2,2,1,2,27,J Palardy
2,2,3,4,0,H ONeill
0,0,3,3,0,N Prefontaine
1,1,4,4,38,C Milo
2,2,2,3,39,L Congi
4,4,0,0,0,G Shaw
3,3,2,3,0,N Prefontaine
5,5,1,1,21,C Milo
1,1,5,5,39,R Paredes
2,2,2,4,24,L Congi
2,2,0,1,0,J Palardy
0,0,1,1,32,G Shaw
2,2,0,0,0,H ONeill
0,0,3,3,34,J Palardy
4,4,2,4,30,N Prefontaine
0,0,4,4,41,R Paredes
3,3,2,2,43,S Whyte
4,4,1,1,37,P McCallum
2,2,2,3,47,G Shaw
4,4,3,3,47,C Milo
2,2,6,6,32,S Whyte
3,3,2,2,26,G Shaw
3,3,1,1,41,J Palardy
3,3,5,5,37,R Paredes
2,2,2,2,0,L Congi
3,3,3,3,17,C Milo
3,3,1,2,20,N Prefontaine
0,0,4,4,17,P McCallum
2,2,2,3,38,G Shaw
3,3,3,3,38,L Congi
3,3,1,3,27,P McCallum
2,2,1,2,39,J Palardy
0,0,2,3,48,S Whyte
0,0,3,3,43,N Prefontaine
0,0,2,2,30,R Paredes
0,0,2,2,28,C Milo
0,0,1,1,18,S Deangelis
0,0,3,4,46,L Congi
0,0,2,2,36,C Milo
1,1,4,5,38,S Whyte
3,3,1,1,24,P McCallum
2,2,2,2,32,R Paredes
3,3,2,3,26,N Prefontaine
3,3,4,5,40,G Shaw
3,3,4,5,42,S Whyte
3,3,5,5,45,P McCallum
3,3,3,4,42,R Paredes
4,4,3,4,42,L Congi
1,1,2,2,32,S Deangelis
2,2,2,2,46,H ONeill
2,2,5,5,43,C Milo
4,4,0,1,0,P McCallum
3,3,1,1,34,L Congi
0,0,2,2,0,C Milo
2,2,0,0,0,S Deangelis
4,4,2,2,41,R Paredes
3,3,0,0,0,G Shaw
1,1,0,1,0,N Prefontaine
2,2,2,2,14,S Whyte
1,1,1,3,14,H ONeill
1,1,5,5,50,R Paredes
4,4,3,3,39,L Congi
3,3,2,3,18,P McCallum
3,3,3,3,41,S Whyte
3,3,2,5,36,N Prefontaine
3,3,1,2,38,S Deangelis
0,0,4,4,50,C Milo
2,2,4,4,43,R Paredes
3,3,0,2,0,L Congi
3,3,1,1,25,H ONeill
0,0,2,3,22,S Deangelis
0,0,0,0,0,C Milo
0,0,0,0,0,S Waters
4,4,2,2,43,P McCallum
2,2,0,0,0,S Whyte
3,3,2,3,32,S Deangelis
2,2,4,5,46,H ONeill
2,2,4,4,40,B Lauther
2,2,2,2,43,S Whyte
3,3,1,2,52,R Paredes
4,4,1,2,40,S Waters
2,2,2,4,47,C Milo
2,2,3,3,42,P McCallum
2,2,1,2,30,S Deangelis
6,6,3,3,37,P McCallum
1,1,1,3,27,B Lauther
4,4,2,2,44,R Paredes
3,3,0,1,0,H ONeill
3,3,1,4,50,S Waters
1,1,3,4,40,S Whyte
1,1,0,0,0,R Schmitt
1,1,4,4,42,S Waters
4,4,1,2,29,B Lauther
2,2,1,2,35,P McCallum
2,2,2,4,45,C Milo
3,3,1,2,24,H ONeill
6,6,1,1,37,S Whyte
4,4,3,3,46,R Paredes
1,1,1,2,15,S Deangelis
4,4,4,5,45,R Paredes
2,2,1,1,13,P McCallum
2,2,0,0,0,R Schmitt
0,0,2,2,50,G Shaw
2,2,4,5,48,S Whyte
4,4,2,2,35,S Deangelis
3,3,0,1,0,B Lauther
2,2,1,2,19,S Waters
1,1,2,4,47,G Shaw
2,2,4,4,34,R Paredes
2,2,2,2,20,S Deangelis
2,2,4,4,37,S Waters
3,3,4,5,38,C Milo
2,2,0,0,0,P McCallum
4,4,2,2,32,S Whyte
0,0,1,1,26,L Congi
3,3,4,4,42,S Waters
2,2,2,2,47,S Deangelis
5,5,0,0,0,P McCallum
3,3,2,2,23,H ONeill
3,3,2,2,25,L Congi
3,3,0,2,0,S Whyte
2,2,3,3,42,R Paredes
1,1,4,4,36,C Milo
1,2,1,3,42,Q Sharp
2,2,0,1,0,S Whyte
2,2,4,4,47,P McCallum
0,0,2,2,46,R Paredes
0,0,2,2,33,S Deangelis
4,4,3,4,28,L Congi
2,2,4,4,23,C Milo
3,3,3,3,40,G Shaw
1,1,2,3,35,L Congi
1,1,2,4,34,S Whyte
2,2,5,6,45,C Milo
3,3,1,1,29,P McCallum
3,3,1,1,28,S Waters
3,3,3,3,23,L Congi
1,1,2,2,31,R Paredes
4,4,2,3,39,C Milo
6,6,1,1,20,C Milo
2,2,3,3,45,L Congi