interception touchdowns, interception yards, interceptions, name
0,3,1,C Walker
1,58,1,T Gilbert
0,-7,1,L Stephens
0,0,1,J Este
1,27,1,A Coleman
0,0,1,W Chapman
0,4,1,G Beidel
0,0,1,J Lindsay
1,34,1,R Fant
1,16,1,T Scales
0,0,1,B Bach
0,30,1,R Siavii
0,0,1,T Strong
0,5,1,K Davis
0,11,1,J Fernandez
0,9,1,J Jones
0,9,1,C Parker
0,0,1,D Cox
0,0,1,C Sutton
0,3,1,M Williams
1,43,1,T McTyer
0,0,1,T Hawthorne
0,0,1,M Williams
0,0,1,D Leavitt
0,0,1,A Jackson
0,0,1,D Simmons
0,38,1,M Nicastro
0,0,1,J Robinson
0,-4,1,K Sakowski
0,20,1,T Thompson
0,14,1,C Awuzie
0,0,1,N Everett
1,50,2,J Smith
0,11,1,C Hall
0,0,1,A Dowell
0,2,1,B Johnson
0,26,1,D Lloyd
0,0,1,Q Meeks
0,26,1,M Hyatt
0,3,1,M Reynolds
0,0,1,K Brinson
0,48,1,R Trotman
1,18,1,M Humphrey
0,0,1,I Marshall
0,3,1,D Greenlaw
0,34,1,P Sam
0,0,1,X Woods
0,0,1,J Holsey
0,0,1,B Boulware
0,0,1,J Johnson
0,0,1,C Sterns
0,11,1,C Griffin
0,1,1,K Nacua
0,0,1,F Bernard
0,0,1,S Griffin
0,0,1,B Borders
0,7,1,T Simmons
0,0,1,R Brice
0,0,1,J Tolbert
0,0,1,T Barton
0,-2,1,J Hylton
0,26,1,C Brown
0,3,1,J Farley
0,0,1,B Bates IV
0,12,1,J Hogan
0,0,2,J Harmon
0,0,1,B McClain
0,0,1,T Collins
0,0,1,A Townsend
0,20,2,D Johnson
0,18,1,A Maulet
0,7,1,M Ford
0,0,1,R Garrett
0,46,1,A Colbert
0,2,1,C Elder
1,51,1,C Stribling
1,27,1,D Hill
0,0,1,D Packer
0,5,1,D Evans
0,1,1,R Randolph
0,0,1,D Simon
0,8,1,K Williams
0,0,1,C Jones
0,37,1,C Davis
0,15,2,H Richardson
0,0,1,D Millines
1,75,1,R Burns
0,44,2,M Hooker
1,63,1,B Harris
0,35,2,K Nelson
0,1,1,J Jelks
0,0,1,T Webb
1,30,1,A Oruwariye
0,0,1,B Bell
1,78,1,G Robinson
0,17,1,L Clark
0,0,1,J Hayes
0,0,1,N Bethel II
0,0,1,N McGee
0,49,1,N Harris
0,1,1,J Pettus Dixon
0,11,1,J Brown
0,0,1,M Slade
1,24,1,J Brubaker
0,0,1,K Melton
0,13,1,P Willis
0,0,2,J Evans
0,0,1,A Pickett
0,0,1,T Nguema
0,0,1,K Ward
0,0,1,Z Starnes
0,0,1,R Scott
0,0,1,T Mainsah
0,15,1,T Edmunds
0,0,2,G Stroman
0,46,1,B Beaver
0,0,1,A Cioffi
0,0,1,M Pippins
0,-3,1,M Fettig
0,43,1,D Tindal
0,0,1,D Dixon
1,21,1,T White
0,0,1,R Jefferson
0,0,1,A Penton
0,-4,1,A Sherrils
0,22,1,S Crawford
1,15,1,A Young
0,0,1,D James
0,0,1,M Lewis
0,0,1,T McFadden
1,14,1,J Carter Jr
0,50,1,D Ellison
0,7,1,S Wiggins
1,55,1,E Jackson
0,6,1,R Harrison
0,0,1,C Duck
0,0,1,D Williams
0,0,1,J Timpf
0,22,1,J Whittaker
0,6,1,J McCall Jr
0,1,1,D Flannigan Fowles
0,19,2,D Hayes
0,62,1,D Hall
1,33,2,O Stewart
0,28,1,J Wyatt
0,26,1,D Millines
1,85,1,T Horton
0,45,2,S Luani
0,0,1,C White
1,61,2,D Harris
0,0,1,T Carter
0,2,1,K Davis
0,0,1,A Duncan
0,12,1,J Williams
0,1,1,D ODaniel
0,0,1,K Joseph
0,31,1,C Rookard
0,25,1,J Rountree
0,1,1,T Julmisse
0,2,1,B Scott
0,3,1,J Giles Harris
0,7,1,B Watson
0,0,1,J Tocho
0,6,1,M Maye
0,2,1,Q Wilson
0,0,1,J Tabor
0,10,1,D Baity
0,4,1,S Harrelson
0,0,1,J Ellis
0,0,1,T Glass
0,-1,1,N Crouch
0,0,1,J Briscoe
0,0,1,D Sanders
0,91,1,J Hall
0,0,1,J Rogers
0,0,1,J Tavai
0,22,1,S Dawson
0,6,1,C Williams Hall
0,0,1,K Hagens
0,21,1,X Bethany
0,0,1,M Ball
0,3,1,B Niemann
0,0,1,A Smithson
0,0,1,M Williams
0,0,1,J McRae
0,0,1,N Murray
0,0,1,J Taylor
0,40,1,D Jackson
0,0,1,R Hall
0,19,1,P Henry
0,0,1,J Baxter
0,27,1,S Huber
0,0,1,W Harris
0,0,1,R Jenkins
0,6,1,N Ozdemir
0,0,1,A Soroh
0,0,1,D Montgomery
0,17,1,N Horne
0,0,1,D Lemon
0,63,1,A Penton
1,1,1,J Burkett
0,0,1,C Neely
0,0,1,J Peters
0,16,1,T Holloman
0,27,1,C Jones
1,23,1,K Williams
0,8,2,N Gerry
0,4,1,A Williams
0,13,1,A Wingard
0,8,1,T Hanks
0,25,1,J McGee
0,0,1,M Hartage
0,5,1,J Jones
0,0,1,K Johnson
0,18,1,K McClain
1,30,1,D Richardson
1,40,2,M Lattimore
1,26,1,M Hooker
0,0,1,G Conley
0,-1,1,R Richards
0,0,1,J Cox
0,16,1,K Oliver
0,0,1,B Schooler
0,0,1,R Lewis
0,8,1,M Golden
0,27,3,M Tyson
0,26,1,T Gilbert
0,0,1,A Thomas
0,0,1,I Wharton
0,0,1,A Dunn
0,0,1,J Liptrot
1,9,1,R Lakalaka
0,0,1,D Kazee
0,0,1,K Kelly
0,0,1,E Rambo
0,63,2,A Chachere
0,0,1,D Barnes
0,2,1,M Smith
1,47,1,B Ellis
0,19,1,D Randall
0,0,1,B Walls
0,0,1,S Chandler
0,0,1,J Woods
1,96,1,P Nickerson
0,0,1,N Marley
1,28,1,D Johnson
0,0,1,S Sheffield
0,0,1,N Ellis
0,0,1,R Johnson
0,51,2,R Goforth
1,41,2,S Tauteoli
0,1,1,R Porter
0,11,2,K Nacua
0,0,1,F Bernard
0,59,1,O Burks
0,3,1,M Reynolds
1,46,1,C OBrien
0,0,1,L Musso
0,13,1,A Benton
0,2,1,E Thompson
0,22,1,A Thomas
0,11,1,G Coleman
1,74,1,S Taylor
1,28,2,H Wilson
0,0,1,N Gaines
0,19,1,J Rocquemore
0,0,1,D Leavitt
0,0,1,B Taylor
0,19,1,M Walton
0,10,1,M Hester
0,47,1,A Mack
0,19,1,R Felton
0,11,1,C Ward
0,0,1,F Warner
0,0,1,A Pickett
0,10,1,J Jackson
0,3,1,E Rolle
1,57,2,J Pickett
0,16,1,S Bunting
0,-3,1,N Ricketts
0,0,1,J Summers
0,0,1,J Thornhill
0,25,1,M Harris
0,12,1,N Brooks
0,0,1,U Eligwe
0,64,1,D Walker
0,0,1,T Ferguson
0,23,1,R Spillane
0,15,1,K Adams
0,0,1,D Reed
0,0,1,E Refuge
0,20,1,B McClain
0,0,1,D Baity
0,10,1,J Wright
0,8,1,J Reaves
0,8,1,N Robinson
0,31,1,D Wilson
1,61,1,J Wilson
1,75,1,J Allen
0,27,1,C Hilton
0,29,2,Q Mauger
0,18,1,J Briscoe
0,34,1,K Brown
1,31,1,D Lloyd
0,8,1,Z Guiser
0,8,1,M Allen
0,28,1,D Kazee
0,10,1,T Lomax
0,30,1,D Studstill
0,0,1,J Reschke
1,68,1,J Baker
0,21,1,M Lattimore
1,88,2,T Decoud
0,42,1,B Arnold
0,13,1,C Saulo
0,0,1,J Bittle
0,14,1,J Reid
0,17,1,D Randall
0,0,1,C Lammons
0,0,1,J King
0,0,1,M McKnight
0,5,1,M Williams
0,0,1,R Porter
1,61,1,D Foster
0,3,1,R Dillard
0,1,1,J Marshall
0,0,1,N Davis
0,0,1,A Jackson
0,5,1,R Stites
1,65,1,K Shindelar
0,0,1,M Whitfield
0,0,1,J Taylor
0,11,1,S Washle
0,27,1,A Alexander
0,19,1,J Johnson
0,0,1,S Jones
0,0,1,J Jordan
0,32,1,R Gafford
0,0,1,L Austin
0,8,1,V Smith
0,-2,1,V Calhoun
1,67,2,M Epps
1,27,1,L Wilson
0,25,1,A Hull
0,-4,1,A Rhone
0,12,1,N Orr
0,0,1,N Small
0,8,1,C Duck
0,32,1,T Smith
0,32,1,T Williams
0,0,1,D Cruikshank
0,0,1,K King
0,25,1,O Stewart
0,0,1,J Burton
0,20,1,B Pauu
1,54,1,R Douglas
0,2,1,M Fleming
0,0,1,J Tyler
0,-2,1,C Broughton
0,0,1,H Harding
0,0,1,B Koenig
0,22,1,C Hudson
0,5,1,A Soroh
0,2,1,Z Ryan
0,25,1,D Johnson
0,0,1,J Ellis
0,0,1,J Brady
1,94,2,J Bates
0,6,1,G Dawson
0,0,1,R Janvion
0,0,1,B Watson
0,27,1,J Wiltz
0,11,1,J Jones
0,4,1,B Peavy
0,0,1,K Cotton Moya
0,0,1,M Seiwert
0,0,1,D Smith
0,4,1,D Hicks
0,8,1,S Shelton
0,0,1,T Edwards
0,0,1,D Tindal
1,28,1,G Avery
0,26,1,J Pardner
0,0,1,C Morley
0,0,1,D Nelson
0,22,1,M McCray
0,0,1,D Travis
0,0,1,B Scott
1,52,1,D Jones
0,8,1,A Davis
0,19,1,M Scherer
0,18,1,J Gibson
0,6,1,T Richardson
0,8,1,S Mercado
0,0,1,J Kalu
0,0,1,A Williams
0,0,1,D Vaughn
0,0,1,D Singleton
0,0,1,B Addison
0,36,1,B Schooler
0,4,1,T Dye
0,0,1,A Witherspoon
0,35,1,J Sawyer
0,0,1,T Stehling
1,33,1,C Major
0,0,1,C Abraham
0,0,1,B Sanders
0,0,1,A Martin
0,0,1,N Andrews
0,0,1,T McFadden
0,40,1,K Young
1,31,2,K Elliss
1,100,2,C Mikell
0,0,1,B Hicks
1,70,1,D Phillips
0,0,1,J Ferguson
0,0,1,J Johnson
0,0,1,A Smithson
0,49,1,D Lake
0,20,1,K Nacua
0,0,2,W Steelhammer
0,0,1,D Thomasson
0,11,1,A Gray
0,9,1,M Williams
0,7,1,E Boggs
0,0,1,B Pinckney
0,0,1,M Shaw
1,70,1,H Toliver
0,2,1,J Liddell
0,0,1,J Davis
0,0,1,M Walton
0,0,1,B Mayes
0,0,1,T Greene
0,0,1,V Calhoun
0,0,1,B Allen
0,1,1,K Davis
0,0,1,S Carter
1,11,1,J Ward
0,6,1,R Hoggins
0,0,1,K McGee
0,0,1,J Johnson
0,0,2,J Alexander
0,0,1,C Williams
1,85,1,D Phillips
1,20,1,R Gamboa
0,0,1,T Thompson
1,55,1,C Appleby
0,11,1,B Humphreys
0,32,2,J Thornhill
0,0,1,Q Blanding
0,-4,2,B Hall
0,5,1,Y Bowden
0,0,1,C Gore
0,22,1,T Mutcherson
0,13,1,S Griffin
1,4,1,B Hayes
1,30,1,A Al Shaair
0,0,1,J Young
0,0,1,M Smith
0,0,1,M Foreman
0,2,1,M Pinckney
0,17,1,J Grabski
0,0,1,J Jordan
0,34,2,B Brown
0,0,1,V Copeland
0,0,1,T Williams
0,33,2,J Foster
0,0,1,T White
0,0,1,X Woods
0,0,1,A Hill
0,4,1,M Bailey
0,0,1,J Franklin
0,0,1,H Harding
0,60,1,J Hagan
0,0,1,T Davis
0,9,2,C Stribling
0,0,1,J Lewis
0,46,1,D Tindal
1,32,2,Z Woods
0,0,1,D Jones
0,0,1,A Maulet
0,24,1,D Mosely
1,45,1,J Wright
0,0,1,R Butler
0,9,1,T Granier
0,0,1,S Thomas
1,37,1,A Ocasio
0,0,1,M McKnight
0,13,1,Z Franklin
0,0,1,K McClain
0,0,1,A Cioffi
0,14,1,J Sterns
0,33,1,A Maddox
0,0,1,J Smith
0,0,1,D Babiash
0,0,1,C Lammons
0,0,1,A Watts
0,0,1,V Banks
0,12,1,S Parker
0,27,1,N Smith
0,12,1,J Folks
1,35,1,J Wyatt
0,34,1,H Richardson
0,0,1,J ORoy
0,59,1,D Mouton
0,0,1,J Lockett
0,6,1,J Tabor
0,0,1,N Washington
0,17,1,I Dotson
0,5,1,D Davis
0,0,1,R Douglas
0,0,1,E Lee
0,0,1,J Moon
0,-2,1,C Matthew
1,23,1,G Avery
0,3,1,C Lanier
1,42,1,M Fields
0,0,1,R Ford
0,14,1,S Williams
0,0,1,R Thompson
0,45,1,D Millines
0,0,1,K Brown
0,0,1,L Hope
0,8,1,D Eugene
1,114,3,M Fitzpatrick
0,37,1,D Hayes
0,22,1,M Ball
0,3,1,R Robinson
0,0,1,F Moreau
0,0,1,A Pickett
1,33,1,J Cox
0,0,1,A Coleman
0,6,1,O Melifonwu
0,25,1,A Thomas
0,13,1,L Stephens
0,0,1,K Davis
0,0,1,D Singleton
0,0,1,D Rogers
0,0,1,J Smith
0,0,1,C Sullivan
0,33,2,H Nickerson
0,20,1,G Allen
0,16,2,B Stewart
0,35,2,N Orr
0,5,1,T Howard
1,35,1,D Reed
0,4,1,T Herndon
0,19,1,J Jordan
0,2,1,K Elliss
0,0,1,R Siavii
0,40,1,M Davis
0,11,1,J Johnson
0,0,1,T McFadden
0,31,1,K Hardin
0,0,1,K Martin
0,7,1,M Rugamba
0,0,1,B Snyder
0,16,1,K Coman
0,0,1,S Roberts
1,34,2,J Powell
0,0,1,A Motuapuaka
0,0,1,G Stroman
0,25,1,J Morehead
1,52,1,E Jenkins
0,47,1,M Hooker
0,31,1,A Riggins
0,7,1,C Moore
0,0,1,J Hagan
0,0,1,L Miller
0,13,1,B Harris
0,0,1,W Sunderland
0,38,2,D Haines
0,0,1,J Burton
0,0,1,D Moncrief
0,15,1,B Baker
0,0,1,D Chappell
1,39,1,R Davison
0,3,1,T Turner
0,0,1,B Smith
0,0,1,D Babiash
0,34,1,N Harris
0,6,1,J Mayo
0,0,1,J Rogers
0,0,1,T Henderson
1,26,1,F Buncom
0,14,1,D Lloyd
0,45,1,S Luani
0,0,1,I Dotson
0,0,1,J Evans
0,0,1,A Watts
0,9,1,T Kelly Jr
0,0,1,C Jumper
0,0,1,A Jackson
0,14,1,K Olugbode
0,0,1,B Allen
0,0,1,D Hatfield
0,0,1,M Williams
0,26,1,J Rogers
0,-3,1,I Brown
0,14,1,J Tauaefa
0,0,1,A Henderson
0,0,1,J Pickard
0,36,1,J Ferguson
0,0,1,R Spillane
0,27,1,M Epps
0,-7,2,A Hull
0,0,1,R Williams
0,0,1,B DeLuca
0,1,1,A Wilder
0,0,1,M Parrish
0,0,1,D Howard
0,10,1,K Nacua
0,0,1,M Hannemann
0,27,1,M McLaurin
0,20,1,K Kelly
0,0,1,D Babiash
0,0,1,D Kazee
0,5,1,R Allen
0,0,1,J Cook
0,1,1,C Bailey
0,0,1,K Carson
0,0,1,C Brown
0,3,1,J Reaves
0,0,1,H Toliver
0,17,1,M Haynes
0,12,1,I Marshall
1,116,2,R Reid
0,65,1,C Johnston
0,-11,1,O Stewart
0,0,1,I Hargrove
0,0,1,R Williamson
0,26,1,T Mutcherson
0,21,1,N Hairston
0,0,1,B DeLuca
0,0,1,E Rolle
0,32,1,E Lubin
0,13,1,K Wallace
0,0,1,M Edmond
1,28,1,M Stevens
0,0,1,A Laguda
1,78,1,Q Wilson
1,39,1,J Tabor
0,2,2,J Gibson
0,0,1,A Penton
0,15,1,T McFadden
0,0,1,M White
0,0,1,J Bates
0,4,1,H Wilson
0,0,1,T Martin
0,25,1,J Phipps
0,4,1,J Crawford
0,0,1,T Fields
1,33,1,C Jones
0,-4,1,A Williams
0,4,1,J Backus
0,0,1,T Ausborne Jr
1,53,1,S Kanu
0,0,1,T Moore
1,82,1,A Winfield Jr
0,0,1,K Hardin
0,21,1,B Goodson
0,0,1,X Woods
1,43,1,J Layne
0,0,1,J McGee
0,23,1,D Daniels
0,1,1,T Williams
0,5,1,C Jackson
0,0,1,J Young
0,0,1,J Cutrer
0,52,1,K Brown
0,18,1,T Smith
0,0,1,S Lurry
0,13,1,J Cox
0,0,1,N Ricketts
0,0,1,C Luke
1,50,1,Q Meeks
0,38,1,D Lloyd
0,35,1,D Pace
0,0,1,D Shelley
0,24,1,C Hansen
